timestamp,experiment_phase,phase_progress,step,time,battery_level,motor_temperature
1770546546.5803308,jumping,0.0,0,0.0,100.0,43.203384052247124
1770546546.6009526,jumping,0.02,1,0.02,99.9,40.28998125304039
1770546546.62162,jumping,0.04,2,0.04,99.8,49.72528923013802
1770546546.6423864,jumping,0.06,3,0.06,99.7,40.79024954553468
1770546546.6628664,jumping,0.08,4,0.08,99.6,42.09676670459638
1770546546.6831284,jumping,0.1,5,0.1,99.5,40.81690826939156
1770546546.7041593,jumping,0.12,6,0.12,99.4,41.36657874458738
1770546546.7244925,jumping,0.14,7,0.14,99.3,42.864686038670975
1770546546.744933,jumping,0.16,8,0.16,99.2,43.53717176548319
1770546546.7654355,jumping,0.18,9,0.18,99.1,44.80834020772737
1770546546.7860153,jumping,0.2,10,0.2,99.0,46.26134484367797
1770546546.8080714,jumping,0.22,11,0.22,98.9,42.13968466137116
1770546546.828515,jumping,0.24,12,0.24,98.8,42.79714699534303
1770546546.8487775,jumping,0.26,13,0.26,98.7,44.40705694390797
1770546546.8691623,jumping,0.28,14,0.28,98.6,43.95748263405953
1770546546.889831,jumping,0.3,15,0.3,98.5,45.6994782701319
1770546546.9107,jumping,0.32,16,0.32,98.4,48.342466163209465
1770546546.9313684,jumping,0.34,17,0.34,98.3,45.111991734953556
1770546546.95203,jumping,0.36,18,0.36,98.2,43.05428436539933
1770546546.9724863,jumping,0.38,19,0.38,98.1,49.696312079128994
1770546546.993006,jumping,0.4,20,0.4,98.0,48.16793993015288
1770546547.0140657,jumping,0.42,21,0.42,97.9,49.972963466658555
1770546547.0347085,jumping,0.44,22,0.44,97.8,42.61310561480859
1770546547.055073,jumping,0.46,23,0.46,97.7,40.73237230178206
1770546547.0758462,jumping,0.48,24,0.48,97.6,44.88960109576966
1770546547.0966172,jumping,0.5,25,0.5,97.5,46.886011557855944
1770546547.11721,jumping,0.52,26,0.52,97.4,42.92755182175389
1770546547.1379387,jumping,0.54,27,0.54,97.3,48.68596315224907
1770546547.1582563,jumping,0.56,28,0.56,97.2,46.43583954566445
1770546547.1788025,jumping,0.58,29,0.58,97.1,43.92566871137507
1770546547.1990883,jumping,0.6,30,0.6,97.0,47.75697842315749
1770546547.2193832,jumping,0.62,31,0.62,96.9,41.39185648091361
1770546547.2399232,jumping,0.64,32,0.64,96.8,49.12776258976932
1770546547.2602627,jumping,0.66,33,0.66,96.7,41.57554195155238
1770546547.2815373,jumping,0.68,34,0.68,96.6,46.204032206226515
1770546547.3026862,jumping,0.7,35,0.7000000000000001,96.5,49.619627233682564
1770546547.324465,jumping,0.72,36,0.72,96.4,40.31653498342953
1770546547.3451242,jumping,0.74,37,0.74,96.3,47.468951135868295
1770546547.3657103,jumping,0.76,38,0.76,96.2,48.753325744096486
1770546547.38606,jumping,0.78,39,0.78,96.1,48.73510890453637
1770546547.4083524,jumping,0.8,40,0.8,96.0,47.39876901943647
1770546547.4309375,jumping,0.82,41,0.8200000000000001,95.9,49.40447063138951
1770546547.4527419,jumping,0.84,42,0.84,95.8,40.74807482607413
1770546547.4737723,jumping,0.86,43,0.86,95.7,47.22432628430758
1770546547.4947193,jumping,0.88,44,0.88,95.6,40.89994709753684
1770546547.5150318,jumping,0.9,45,0.9,95.5,49.67786476652705
1770546547.53535,jumping,0.92,46,0.92,95.4,41.714635123807824
1770546547.555974,jumping,0.94,47,0.9400000000000001,95.3,40.01654819867764
1770546547.5765567,jumping,0.96,48,0.96,95.2,44.72600833458256
1770546547.5982745,jumping,0.98,49,0.98,95.1,41.05232077488224
