timestamp,experiment_phase,phase_progress,step,time,battery_level,motor_temperature
1770546541.8519313,walking_forward,0.0,0,0.0,100.0,43.6352803987089
1770546541.872429,walking_forward,0.01,1,0.02,99.9,41.07935221117201
1770546541.8955462,walking_forward,0.02,2,0.04,99.8,43.69041644744459
1770546541.91669,walking_forward,0.03,3,0.06,99.7,47.73204141685673
1770546541.937461,walking_forward,0.04,4,0.08,99.6,47.46962327089509
1770546541.9578075,walking_forward,0.05,5,0.1,99.5,48.88998653192654
1770546541.9783623,walking_forward,0.06,6,0.12,99.4,40.18627868257179
1770546541.9996276,walking_forward,0.07,7,0.14,99.3,44.15173568215091
1770546542.0201573,walking_forward,0.08,8,0.16,99.2,40.146528859889344
1770546542.042147,walking_forward,0.09,9,0.18,99.1,40.901913123834596
1770546542.0625606,walking_forward,0.1,10,0.2,99.0,45.79159489015766
1770546542.083312,walking_forward,0.11,11,0.22,98.9,41.166282346367986
1770546542.1037757,walking_forward,0.12,12,0.24,98.8,40.17916063101861
1770546542.124384,walking_forward,0.13,13,0.26,98.7,46.85624300070557
1770546542.1455503,walking_forward,0.14,14,0.28,98.6,48.048979431935365
1770546542.1662772,walking_forward,0.15,15,0.3,98.5,46.100634563042384
1770546542.1870446,walking_forward,0.16,16,0.32,98.4,48.17745582026751
1770546542.207738,walking_forward,0.17,17,0.34,98.3,46.75963328655818
1770546542.22816,walking_forward,0.18,18,0.36,98.2,46.273506448744094
1770546542.2487843,walking_forward,0.19,19,0.38,98.1,47.06654265449878
1770546542.2699296,walking_forward,0.2,20,0.4,98.0,47.18395502848515
1770546542.2904313,walking_forward,0.21,21,0.42,97.9,40.380325598383735
1770546542.3112323,walking_forward,0.22,22,0.44,97.8,49.547110512455994
1770546542.3319342,walking_forward,0.23,23,0.46,97.7,45.30092821893746
1770546542.3533149,walking_forward,0.24,24,0.48,97.6,41.87363046176958
1770546542.3748949,walking_forward,0.25,25,0.5,97.5,41.13193968329841
1770546542.3952203,walking_forward,0.26,26,0.52,97.4,45.0824785408116
1770546542.4159672,walking_forward,0.27,27,0.54,97.3,44.267970047502914
1770546542.436498,walking_forward,0.28,28,0.56,97.2,41.533025815571634
1770546542.4568737,walking_forward,0.29,29,0.58,97.1,48.01115090789919
1770546542.478132,walking_forward,0.3,30,0.6,97.0,47.65646647773232
1770546542.4985414,walking_forward,0.31,31,0.62,96.9,44.36235600173876
1770546542.5196102,walking_forward,0.32,32,0.64,96.8,40.554983919385926
